"date" "keyword" "est_hits"
2009-01-15 "§√’¡°—π·¥¥" 0
2009-01-16 "§√’¡°—π·¥¥" 6.6
2009-01-17 "§√’¡°—π·¥¥" 0
2009-01-18 "§√’¡°—π·¥¥" 0
2009-01-19 "§√’¡°—π·¥¥" 6.3
2009-01-20 "§√’¡°—π·¥¥" 0
2009-01-21 "§√’¡°—π·¥¥" 0
2009-01-22 "§√’¡°—π·¥¥" 6.5
2009-01-23 "§√’¡°—π·¥¥" 0
2009-01-24 "§√’¡°—π·¥¥" 0
2009-01-25 "§√’¡°—π·¥¥" 0
2009-01-26 "§√’¡°—π·¥¥" 0
2009-01-27 "§√’¡°—π·¥¥" 0
2009-01-28 "§√’¡°—π·¥¥" 6.3
2009-01-29 "§√’¡°—π·¥¥" 0
2009-01-30 "§√’¡°—π·¥¥" 0
2009-01-31 "§√’¡°—π·¥¥" 0
2009-02-01 "§√’¡°—π·¥¥" 0
2009-02-02 "§√’¡°—π·¥¥" 6.25
2009-02-03 "§√’¡°—π·¥¥" 0
2009-02-04 "§√’¡°—π·¥¥" 0
2009-02-05 "§√’¡°—π·¥¥" 0
2009-02-06 "§√’¡°—π·¥¥" 6.75
2009-02-07 "§√’¡°—π·¥¥" 0
2009-02-08 "§√’¡°—π·¥¥" 0
2009-02-09 "§√’¡°—π·¥¥" 8.25
2009-02-10 "§√’¡°—π·¥¥" 6
2009-02-11 "§√’¡°—π·¥¥" 0
2009-02-12 "§√’¡°—π·¥¥" 0
2009-02-13 "§√’¡°—π·¥¥" 0
2009-02-14 "§√’¡°—π·¥¥" 0
2009-02-15 "§√’¡°—π·¥¥" 0
2009-02-16 "§√’¡°—π·¥¥" 6
2009-02-17 "§√’¡°—π·¥¥" 0
2009-02-18 "§√’¡°—π·¥¥" 12.5
2009-02-19 "§√’¡°—π·¥¥" 0
2009-02-20 "§√’¡°—π·¥¥" 12.75
2009-02-21 "§√’¡°—π·¥¥" 0
2009-02-22 "§√’¡°—π·¥¥" 9
2009-02-23 "§√’¡°—π·¥¥" 18.75
2009-02-24 "§√’¡°—π·¥¥" 0
2009-02-25 "§√’¡°—π·¥¥" 6.25
2009-02-26 "§√’¡°—π·¥¥" 25
2009-02-27 "§√’¡°—π·¥¥" 0
2009-02-28 "§√’¡°—π·¥¥" 0
2009-03-01 "§√’¡°—π·¥¥" 0
2009-03-02 "§√’¡°—π·¥¥" 10.29
2009-03-03 "§√’¡°—π·¥¥" 0
2009-03-04 "§√’¡°—π·¥¥" 10.29
2009-03-05 "§√’¡°—π·¥¥" 0
2009-03-06 "§√’¡°—π·¥¥" 21
2009-03-07 "§√’¡°—π·¥¥" 0
2009-03-08 "§√’¡°—π·¥¥" 0
2009-03-09 "§√’¡°—π·¥¥" 0
2009-03-10 "§√’¡°—π·¥¥" 10.08
2009-03-11 "§√’¡°—π·¥¥" 10.08
2009-03-12 "§√’¡°—π·¥¥" 10.08
2009-03-13 "§√’¡°—π·¥¥" 0
2009-03-14 "§√’¡°—π·¥¥" 0
2009-03-15 "§√’¡°—π·¥¥" 0
2009-03-16 "§√’¡°—π·¥¥" 0
2009-03-17 "§√’¡°—π·¥¥" 0
2009-03-18 "§√’¡°—π·¥¥" 0
2009-03-19 "§√’¡°—π·¥¥" 10.5
2009-03-20 "§√’¡°—π·¥¥" 0
2009-03-21 "§√’¡°—π·¥¥" 0
2009-03-22 "§√’¡°—π·¥¥" 0
2009-03-23 "§√’¡°—π·¥¥" 0
2009-03-24 "§√’¡°—π·¥¥" 0
2009-03-25 "§√’¡°—π·¥¥" 0
2009-03-26 "§√’¡°—π·¥¥" 10.08
2009-03-27 "§√’¡°—π·¥¥" 0
2009-03-28 "§√’¡°—π·¥¥" 0
2009-03-29 "§√’¡°—π·¥¥" 0
2009-03-30 "§√’¡°—π·¥¥" 0
2009-03-31 "§√’¡°—π·¥¥" 0
2009-04-01 "§√’¡°—π·¥¥" 21.24
2009-04-02 "§√’¡°—π·¥¥" 21.96
2009-04-03 "§√’¡°—π·¥¥" 11.16
2009-04-04 "§√’¡°—π·¥¥" 0
2009-04-05 "§√’¡°—π·¥¥" 15.48
2009-04-06 "§√’¡°—π·¥¥" 0
2009-04-07 "§√’¡°—π·¥¥" 0
2009-04-08 "§√’¡°—π·¥¥" 21.24
2009-04-09 "§√’¡°—π·¥¥" 10.8
2009-04-10 "§√’¡°—π·¥¥" 0
2009-04-11 "§√’¡°—π·¥¥" 0
2009-04-12 "§√’¡°—π·¥¥" 0
2009-04-13 "§√’¡°—π·¥¥" 0
2009-04-14 "§√’¡°—π·¥¥" 0
2009-04-15 "§√’¡°—π·¥¥" 36
2009-04-16 "§√’¡°—π·¥¥" 0
2009-04-17 "§√’¡°—π·¥¥" 11.88
2009-04-18 "§√’¡°—π·¥¥" 27
2009-04-19 "§√’¡°—π·¥¥" 14.76
2009-04-20 "§√’¡°—π·¥¥" 0
2009-04-21 "§√’¡°—π·¥¥" 0
2009-04-22 "§√’¡°—π·¥¥" 0
2009-04-23 "§√’¡°—π·¥¥" 0
2009-04-24 "§√’¡°—π·¥¥" 10.8
2009-04-25 "§√’¡°—π·¥¥" 12.96
2009-04-26 "§√’¡°—π·¥¥" 0
2009-04-27 "§√’¡°—π·¥¥" 0
2009-04-28 "§√’¡°—π·¥¥" 10.08
2009-04-29 "§√’¡°—π·¥¥" 10.44
2009-04-30 "§√’¡°—π·¥¥" 0
2009-05-01 "§√’¡°—π·¥¥" 0
2009-05-02 "§√’¡°—π·¥¥" 0
2009-05-03 "§√’¡°—π·¥¥" 0
2009-05-04 "§√’¡°—π·¥¥" 0
2009-05-05 "§√’¡°—π·¥¥" 5.25
2009-05-06 "§√’¡°—π·¥¥" 0
2009-05-07 "§√’¡°—π·¥¥" 0
2009-05-08 "§√’¡°—π·¥¥" 0
2009-05-09 "§√’¡°—π·¥¥" 0
2009-05-10 "§√’¡°—π·¥¥" 12.39
2009-05-11 "§√’¡°—π·¥¥" 0
2009-05-12 "§√’¡°—π·¥¥" 0
2009-05-13 "§√’¡°—π·¥¥" 4.2
2009-05-14 "§√’¡°—π·¥¥" 0
2009-05-15 "§√’¡°—π·¥¥" 0
2009-05-16 "§√’¡°—π·¥¥" 21
2009-05-17 "§√’¡°—π·¥¥" 12.18
2009-05-18 "§√’¡°—π·¥¥" 0
2009-05-19 "§√’¡°—π·¥¥" 8.4
2009-05-20 "§√’¡°—π·¥¥" 8.4
2009-05-21 "§√’¡°—π·¥¥" 8.4
2009-05-22 "§√’¡°—π·¥¥" 0
2009-05-23 "§√’¡°—π·¥¥" 5.25
2009-05-24 "§√’¡°—π·¥¥" 0
2009-05-25 "§√’¡°—π·¥¥" 0
2009-05-26 "§√’¡°—π·¥¥" 0
2009-05-27 "§√’¡°—π·¥¥" 0
2009-05-28 "§√’¡°—π·¥¥" 4.2
2009-05-29 "§√’¡°—π·¥¥" 4.62
2009-05-30 "§√’¡°—π·¥¥" 0
2009-05-31 "§√’¡°—π·¥¥" 0
2009-06-01 "§√’¡°—π·¥¥" 8.82
2009-06-02 "§√’¡°—π·¥¥" 0
2009-06-03 "§√’¡°—π·¥¥" 9.18
2009-06-04 "§√’¡°—π·¥¥" 0
2009-06-05 "§√’¡°—π·¥¥" 9.18
2009-06-06 "§√’¡°—π·¥¥" 0
2009-06-07 "§√’¡°—π·¥¥" 0
2009-06-08 "§√’¡°—π·¥¥" 8.82
2009-06-09 "§√’¡°—π·¥¥" 9
2009-06-10 "§√’¡°—π·¥¥" 0
2009-06-11 "§√’¡°—π·¥¥" 9
2009-06-12 "§√’¡°—π·¥¥" 18
2009-06-13 "§√’¡°—π·¥¥" 0
2009-06-14 "§√’¡°—π·¥¥" 0
2009-06-15 "§√’¡°—π·¥¥" 0
2009-06-16 "§√’¡°—π·¥¥" 0
2009-06-17 "§√’¡°—π·¥¥" 0
2009-06-18 "§√’¡°—π·¥¥" 17.28
2009-06-19 "§√’¡°—π·¥¥" 0
2009-06-20 "§√’¡°—π·¥¥" 0
2009-06-21 "§√’¡°—π·¥¥" 0
2009-06-22 "§√’¡°—π·¥¥" 8.46
2009-06-23 "§√’¡°—π·¥¥" 8.46
2009-06-24 "§√’¡°—π·¥¥" 8.46
2009-06-25 "§√’¡°—π·¥¥" 0
2009-06-26 "§√’¡°—π·¥¥" 0
2009-06-27 "§√’¡°—π·¥¥" 0
2009-06-28 "§√’¡°—π·¥¥" 12.24
2009-06-29 "§√’¡°—π·¥¥" 17.46
2009-06-30 "§√’¡°—π·¥¥" 17.82
2009-07-01 "§√’¡°—π·¥¥" 10.44
2009-07-02 "§√’¡°—π·¥¥" 0
2009-07-03 "§√’¡°—π·¥¥" 10.44
2009-07-04 "§√’¡°—π·¥¥" 13.92
2009-07-05 "§√’¡°—π·¥¥" 0
2009-07-06 "§√’¡°—π·¥¥" 12.76
2009-07-07 "§√’¡°—π·¥¥" 29
2009-07-08 "§√’¡°—π·¥¥" 11.89
2009-07-09 "§√’¡°—π·¥¥" 0
2009-07-10 "§√’¡°—π·¥¥" 0
2009-07-11 "§√’¡°—π·¥¥" 12.76
2009-07-12 "§√’¡°—π·¥¥" 0
2009-07-13 "§√’¡°—π·¥¥" 9.86
2009-07-14 "§√’¡°—π·¥¥" 0
2009-07-15 "§√’¡°—π·¥¥" 0
2009-07-16 "§√’¡°—π·¥¥" 19.72
2009-07-17 "§√’¡°—π·¥¥" 0
2009-07-18 "§√’¡°—π·¥¥" 0
2009-07-19 "§√’¡°—π·¥¥" 0
2009-07-20 "§√’¡°—π·¥¥" 19.43
2009-07-21 "§√’¡°—π·¥¥" 0
2009-07-22 "§√’¡°—π·¥¥" 9.57
2009-07-23 "§√’¡°—π·¥¥" 0
2009-07-24 "§√’¡°—π·¥¥" 10.15
2009-07-25 "§√’¡°—π·¥¥" 12.76
2009-07-26 "§√’¡°—π·¥¥" 0
2009-07-27 "§√’¡°—π·¥¥" 0
2009-07-28 "§√’¡°—π·¥¥" 0
2009-07-29 "§√’¡°—π·¥¥" 0
2009-07-30 "§√’¡°—π·¥¥" 9.86
2009-07-31 "§√’¡°—π·¥¥" 10.44
2009-08-01 "§√’¡°—π·¥¥" 0
2009-08-02 "§√’¡°—π·¥¥" 0
2009-08-03 "§√’¡°—π·¥¥" 9.99
2009-08-04 "§√’¡°—π·¥¥" 0
2009-08-05 "§√’¡°—π·¥¥" 10.26
2009-08-06 "§√’¡°—π·¥¥" 9.99
2009-08-07 "§√’¡°—π·¥¥" 0
2009-08-08 "§√’¡°—π·¥¥" 12.69
2009-08-09 "§√’¡°—π·¥¥" 0
2009-08-10 "§√’¡°—π·¥¥" 9.99
2009-08-11 "§√’¡°—π·¥¥" 0
2009-08-12 "§√’¡°—π·¥¥" 27
2009-08-13 "§√’¡°—π·¥¥" 0
2009-08-14 "§√’¡°—π·¥¥" 0
2009-08-15 "§√’¡°—π·¥¥" 24.57
2009-08-16 "§√’¡°—π·¥¥" 0
2009-08-17 "§√’¡°—π·¥¥" 9.72
2009-08-18 "§√’¡°—π·¥¥" 0
2009-08-19 "§√’¡°—π·¥¥" 0
2009-08-20 "§√’¡°—π·¥¥" 0
2009-08-21 "§√’¡°—π·¥¥" 0
2009-08-22 "§√’¡°—π·¥¥" 12.15
2009-08-23 "§√’¡°—π·¥¥" 13.5
2009-08-24 "§√’¡°—π·¥¥" 0
2009-08-25 "§√’¡°—π·¥¥" 0
2009-08-26 "§√’¡°—π·¥¥" 9.72
2009-08-27 "§√’¡°—π·¥¥" 0
2009-08-28 "§√’¡°—π·¥¥" 0
2009-08-29 "§√’¡°—π·¥¥" 0
2009-08-30 "§√’¡°—π·¥¥" 26.73
2009-08-31 "§√’¡°—π·¥¥" 9.72
2009-09-01 "§√’¡°—π·¥¥" 0
2009-09-02 "§√’¡°—π·¥¥" 0
2009-09-03 "§√’¡°—π·¥¥" 4.25
2009-09-04 "§√’¡°—π·¥¥" 8.67
2009-09-05 "§√’¡°—π·¥¥" 0
2009-09-06 "§√’¡°—π·¥¥" 0
2009-09-07 "§√’¡°—π·¥¥" 7.99
2009-09-08 "§√’¡°—π·¥¥" 0
2009-09-09 "§√’¡°—π·¥¥" 0
2009-09-10 "§√’¡°—π·¥¥" 4.08
2009-09-11 "§√’¡°—π·¥¥" 4.25
2009-09-12 "§√’¡°—π·¥¥" 5.1
2009-09-13 "§√’¡°—π·¥¥" 5.61
2009-09-14 "§√’¡°—π·¥¥" 0
2009-09-15 "§√’¡°—π·¥¥" 0
2009-09-16 "§√’¡°—π·¥¥" 0
2009-09-17 "§√’¡°—π·¥¥" 4.08
2009-09-18 "§√’¡°—π·¥¥" 17
2009-09-19 "§√’¡°—π·¥¥" 0
2009-09-20 "§√’¡°—π·¥¥" 0
2009-09-21 "§√’¡°—π·¥¥" 0
2009-09-22 "§√’¡°—π·¥¥" 4.08
2009-09-23 "§√’¡°—π·¥¥" 0
2009-09-24 "§√’¡°—π·¥¥" 0
2009-09-25 "§√’¡°—π·¥¥" 0
2009-09-26 "§√’¡°—π·¥¥" 0
2009-09-27 "§√’¡°—π·¥¥" 0
2009-09-28 "§√’¡°—π·¥¥" 4.25
2009-09-29 "§√’¡°—π·¥¥" 4.25
2009-09-30 "§√’¡°—π·¥¥" 4.42
2009-10-01 "§√’¡°—π·¥¥" 19
2009-10-02 "§√’¡°—π·¥¥" 6.65
2009-10-03 "§√’¡°—π·¥¥" 0
2009-10-04 "§√’¡°—π·¥¥" 0
2009-10-05 "§√’¡°—π·¥¥" 0
2009-10-06 "§√’¡°—π·¥¥" 6.65
2009-10-07 "§√’¡°—π·¥¥" 0
2009-10-08 "§√’¡°—π·¥¥" 0
2009-10-09 "§√’¡°—π·¥¥" 13.49
2009-10-10 "§√’¡°—π·¥¥" 8.74
2009-10-11 "§√’¡°—π·¥¥" 9.69
2009-10-12 "§√’¡°—π·¥¥" 6.27
2009-10-13 "§√’¡°—π·¥¥" 0
2009-10-14 "§√’¡°—π·¥¥" 6.65
2009-10-15 "§√’¡°—π·¥¥" 0
2009-10-16 "§√’¡°—π·¥¥" 0
2009-10-17 "§√’¡°—π·¥¥" 0
2009-10-18 "§√’¡°—π·¥¥" 0
2009-10-19 "§√’¡°—π·¥¥" 0
2009-10-20 "§√’¡°—π·¥¥" 0
2009-10-21 "§√’¡°—π·¥¥" 0
2009-10-22 "§√’¡°—π·¥¥" 6.84
2009-10-23 "§√’¡°—π·¥¥" 0
2009-10-24 "§√’¡°—π·¥¥" 0
2009-10-25 "§√’¡°—π·¥¥" 0
2009-10-26 "§√’¡°—π·¥¥" 0
2009-10-27 "§√’¡°—π·¥¥" 6.46
2009-10-28 "§√’¡°—π·¥¥" 0
2009-10-29 "§√’¡°—π·¥¥" 6.65
2009-10-30 "§√’¡°—π·¥¥" 0
2009-10-31 "§√’¡°—π·¥¥" 0
2009-11-01 "§√’¡°—π·¥¥" 0
2009-11-02 "§√’¡°—π·¥¥" 0
2009-11-03 "§√’¡°—π·¥¥" 0
2009-11-04 "§√’¡°—π·¥¥" 0
2009-11-05 "§√’¡°—π·¥¥" 8.5
2009-11-06 "§√’¡°—π·¥¥" 0
2009-11-07 "§√’¡°—π·¥¥" 0
2009-11-08 "§√’¡°—π·¥¥" 0
2009-11-09 "§√’¡°—π·¥¥" 16
2009-11-10 "§√’¡°—π·¥¥" 7.75
2009-11-11 "§√’¡°—π·¥¥" 8
2009-11-12 "§√’¡°—π·¥¥" 8.25
2009-11-13 "§√’¡°—π·¥¥" 8.5
2009-11-14 "§√’¡°—π·¥¥" 0
2009-11-15 "§√’¡°—π·¥¥" 0
2009-11-16 "§√’¡°—π·¥¥" 0
2009-11-17 "§√’¡°—π·¥¥" 0
2009-11-18 "§√’¡°—π·¥¥" 8
2009-11-19 "§√’¡°—π·¥¥" 25
2009-11-20 "§√’¡°—π·¥¥" 8.5
2009-11-21 "§√’¡°—π·¥¥" 21
2009-11-22 "§√’¡°—π·¥¥" 11.5
2009-11-23 "§√’¡°—π·¥¥" 16.25
2009-11-24 "§√’¡°—π·¥¥" 0
2009-11-25 "§√’¡°—π·¥¥" 0
2009-11-26 "§√’¡°—π·¥¥" 8.25
2009-11-27 "§√’¡°—π·¥¥" 0
2009-11-28 "§√’¡°—π·¥¥" 0
2009-11-29 "§√’¡°—π·¥¥" 11.75
2009-11-30 "§√’¡°—π·¥¥" 0
2009-12-01 "§√’¡°—π·¥¥" 0
2009-12-02 "§√’¡°—π·¥¥" 0
2009-12-03 "§√’¡°—π·¥¥" 19
2009-12-04 "§√’¡°—π·¥¥" 0
2009-12-05 "§√’¡°—π·¥¥" 0
2009-12-06 "§√’¡°—π·¥¥" 0
2009-12-07 "§√’¡°—π·¥¥" 0
2009-12-08 "§√’¡°—π·¥¥" 0
2009-12-09 "§√’¡°—π·¥¥" 0
2009-12-10 "§√’¡°—π·¥¥" 0
2009-12-11 "§√’¡°—π·¥¥" 0
2009-12-12 "§√’¡°—π·¥¥" 0
2009-12-13 "§√’¡°—π·¥¥" 0
2009-12-14 "§√’¡°—π·¥¥" 0
2009-12-15 "§√’¡°—π·¥¥" 0
2009-12-16 "§√’¡°—π·¥¥" 0
2009-12-17 "§√’¡°—π·¥¥" 0
2009-12-18 "§√’¡°—π·¥¥" 9.88
2009-12-19 "§√’¡°—π·¥¥" 12.16
2009-12-20 "§√’¡°—π·¥¥" 0
2009-12-21 "§√’¡°—π·¥¥" 9.31
2009-12-22 "§√’¡°—π·¥¥" 9.5
2009-12-23 "§√’¡°—π·¥¥" 0
2009-12-24 "§√’¡°—π·¥¥" 0
2009-12-25 "§√’¡°—π·¥¥" 10.45
2009-12-26 "§√’¡°—π·¥¥" 0
2009-12-27 "§√’¡°—π·¥¥" 0
2009-12-28 "§√’¡°—π·¥¥" 10.26
2009-12-29 "§√’¡°—π·¥¥" 10.26
2009-12-30 "§√’¡°—π·¥¥" 11.78
2009-12-31 "§√’¡°—π·¥¥" 0
2010-01-01 "§√’¡°—π·¥¥" 15
2010-01-02 "§√’¡°—π·¥¥" 0
2010-01-03 "§√’¡°—π·¥¥" 5.55
2010-01-04 "§√’¡°—π·¥¥" 0
2010-01-05 "§√’¡°—π·¥¥" 0
2010-01-06 "§√’¡°—π·¥¥" 3.6
2010-01-07 "§√’¡°—π·¥¥" 10.65
2010-01-08 "§√’¡°—π·¥¥" 0
2010-01-09 "§√’¡°—π·¥¥" 0
2010-01-10 "§√’¡°—π·¥¥" 4.8
2010-01-11 "§√’¡°—π·¥¥" 6.75
2010-01-12 "§√’¡°—π·¥¥" 0
2010-01-13 "§√’¡°—π·¥¥" 10.35
2010-01-14 "§√’¡°—π·¥¥" 3.45
2010-01-15 "§√’¡°—π·¥¥" 0
2010-01-16 "§√’¡°—π·¥¥" 0
2010-01-17 "§√’¡°—π·¥¥" 0
2010-01-18 "§√’¡°—π·¥¥" 3.45
2010-01-19 "§√’¡°—π·¥¥" 0
2010-01-20 "§√’¡°—π·¥¥" 3.45
2010-01-21 "§√’¡°—π·¥¥" 3.45
2010-01-22 "§√’¡°—π·¥¥" 0
2010-01-23 "§√’¡°—π·¥¥" 0
2010-01-24 "§√’¡°—π·¥¥" 0
2010-01-25 "§√’¡°—π·¥¥" 0
2010-01-26 "§√’¡°—π·¥¥" 3.3
2010-01-27 "§√’¡°—π·¥¥" 0
2010-01-28 "§√’¡°—π·¥¥" 3.45
2010-01-29 "§√’¡°—π·¥¥" 3.6
2010-01-30 "§√’¡°—π·¥¥" 9.15
2010-01-31 "§√’¡°—π·¥¥" 0
2010-02-01 "§√’¡°—π·¥¥" 0
2010-02-02 "§√’¡°—π·¥¥" 11.78
2010-02-03 "§√’¡°—π·¥¥" 0
2010-02-04 "§√’¡°—π·¥¥" 6.08
2010-02-05 "§√’¡°—π·¥¥" 0
2010-02-06 "§√’¡°—π·¥¥" 7.79
2010-02-07 "§√’¡°—π·¥¥" 0
2010-02-08 "§√’¡°—π·¥¥" 5.89
2010-02-09 "§√’¡°—π·¥¥" 0
2010-02-10 "§√’¡°—π·¥¥" 5.89
2010-02-11 "§√’¡°—π·¥¥" 5.89
2010-02-12 "§√’¡°—π·¥¥" 0
2010-02-13 "§√’¡°—π·¥¥" 0
2010-02-14 "§√’¡°—π·¥¥" 0
2010-02-15 "§√’¡°—π·¥¥" 0
2010-02-16 "§√’¡°—π·¥¥" 0
2010-02-17 "§√’¡°—π·¥¥" 0
2010-02-18 "§√’¡°—π·¥¥" 5.89
2010-02-19 "§√’¡°—π·¥¥" 6.27
2010-02-20 "§√’¡°—π·¥¥" 0
2010-02-21 "§√’¡°—π·¥¥" 0
2010-02-22 "§√’¡°—π·¥¥" 5.89
2010-02-23 "§√’¡°—π·¥¥" 6.08
2010-02-24 "§√’¡°—π·¥¥" 12.16
2010-02-25 "§√’¡°—π·¥¥" 19
2010-02-26 "§√’¡°—π·¥¥" 0
2010-02-27 "§√’¡°—π·¥¥" 0
2010-02-28 "§√’¡°—π·¥¥" 9.12
2010-03-01 "§√’¡°—π·¥¥" 0
2010-03-02 "§√’¡°—π·¥¥" 33.48
2010-03-03 "§√’¡°—π·¥¥" 11.34
2010-03-04 "§√’¡°—π·¥¥" 11.34
2010-03-05 "§√’¡°—π·¥¥" 11.88
2010-03-06 "§√’¡°—π·¥¥" 45.9
2010-03-07 "§√’¡°—π·¥¥" 16.2
2010-03-08 "§√’¡°—π·¥¥" 0
2010-03-09 "§√’¡°—π·¥¥" 22.68
2010-03-10 "§√’¡°—π·¥¥" 11.34
2010-03-11 "§√’¡°—π·¥¥" 0
2010-03-12 "§√’¡°—π·¥¥" 32.94
2010-03-13 "§√’¡°—π·¥¥" 0
2010-03-14 "§√’¡°—π·¥¥" 15.66
2010-03-15 "§√’¡°—π·¥¥" 0
2010-03-16 "§√’¡°—π·¥¥" 0
2010-03-17 "§√’¡°—π·¥¥" 10.8
2010-03-18 "§√’¡°—π·¥¥" 54
2010-03-19 "§√’¡°—π·¥¥" 34.02
2010-03-20 "§√’¡°—π·¥¥" 0
2010-03-21 "§√’¡°—π·¥¥" 15.66
2010-03-22 "§√’¡°—π·¥¥" 0
2010-03-23 "§√’¡°—π·¥¥" 0
2010-03-24 "§√’¡°—π·¥¥" 11.34
2010-03-25 "§√’¡°—π·¥¥" 10.8
2010-03-26 "§√’¡°—π·¥¥" 0
2010-03-27 "§√’¡°—π·¥¥" 14.58
2010-03-28 "§√’¡°—π·¥¥" 16.2
2010-03-29 "§√’¡°—π·¥¥" 10.8
2010-03-30 "§√’¡°—π·¥¥" 0
2010-03-31 "§√’¡°—π·¥¥" 11.34
2010-04-01 "§√’¡°—π·¥¥" 7.48
2010-04-02 "§√’¡°—π·¥¥" 24.64
2010-04-03 "§√’¡°—π·¥¥" 20.24
2010-04-04 "§√’¡°—π·¥¥" 11.44
2010-04-05 "§√’¡°—π·¥¥" 7.48
2010-04-06 "§√’¡°—π·¥¥" 9.68
2010-04-07 "§√’¡°—π·¥¥" 7.92
2010-04-08 "§√’¡°—π·¥¥" 7.48
2010-04-09 "§√’¡°—π·¥¥" 33
2010-04-10 "§√’¡°—π·¥¥" 0
2010-04-11 "§√’¡°—π·¥¥" 0
2010-04-12 "§√’¡°—π·¥¥" 0
2010-04-13 "§√’¡°—π·¥¥" 14.96
2010-04-14 "§√’¡°—π·¥¥" 30.36
2010-04-15 "§√’¡°—π·¥¥" 13.64
2010-04-16 "§√’¡°—π·¥¥" 0
2010-04-17 "§√’¡°—π·¥¥" 21.56
2010-04-18 "§√’¡°—π·¥¥" 44
2010-04-19 "§√’¡°—π·¥¥" 7.48
2010-04-20 "§√’¡°—π·¥¥" 7.48
2010-04-21 "§√’¡°—π·¥¥" 0
2010-04-22 "§√’¡°—π·¥¥" 0
2010-04-23 "§√’¡°—π·¥¥" 0
2010-04-24 "§√’¡°—π·¥¥" 0
2010-04-25 "§√’¡°—π·¥¥" 22
2010-04-26 "§√’¡°—π·¥¥" 0
2010-04-27 "§√’¡°—π·¥¥" 0
2010-04-28 "§√’¡°—π·¥¥" 0
2010-04-29 "§√’¡°—π·¥¥" 0
2010-04-30 "§√’¡°—π·¥¥" 0
2010-05-01 "§√’¡°—π·¥¥" 0
2010-05-02 "§√’¡°—π·¥¥" 0
2010-05-03 "§√’¡°—π·¥¥" 0
2010-05-04 "§√’¡°—π·¥¥" 0
2010-05-05 "§√’¡°—π·¥¥" 10.54
2010-05-06 "§√’¡°—π·¥¥" 0
2010-05-07 "§√’¡°—π·¥¥" 8.16
2010-05-08 "§√’¡°—π·¥¥" 0
2010-05-09 "§√’¡°—π·¥¥" 24.14
2010-05-10 "§√’¡°—π·¥¥" 15.98
2010-05-11 "§√’¡°—π·¥¥" 24.48
2010-05-12 "§√’¡°—π·¥¥" 34
2010-05-13 "§√’¡°—π·¥¥" 8.84
2010-05-14 "§√’¡°—π·¥¥" 8.5
2010-05-15 "§√’¡°—π·¥¥" 0
2010-05-16 "§√’¡°—π·¥¥" 11.22
2010-05-17 "§√’¡°—π·¥¥" 8.16
2010-05-18 "§√’¡°—π·¥¥" 8.5
2010-05-19 "§√’¡°—π·¥¥" 0
2010-05-20 "§√’¡°—π·¥¥" 0
2010-05-21 "§√’¡°—π·¥¥" 8.84
2010-05-22 "§√’¡°—π·¥¥" 10.2
2010-05-23 "§√’¡°—π·¥¥" 0
2010-05-24 "§√’¡°—π·¥¥" 15.98
2010-05-25 "§√’¡°—π·¥¥" 8.16
2010-05-26 "§√’¡°—π·¥¥" 0
